,current task,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle,device
0,1,1,2.3554456590576254,0.6954643628509719,1.6646332740783691,1.6646332740783691,0.01,100,True,cuda
1,1,2,0.5024261802241817,0.7804175665946724,0.0797274112701416,1.7443606853485107,0.01,100,True,cuda
2,1,3,0.3653623499700369,0.8603311735061195,0.08173203468322754,1.8260927200317383,0.01,100,True,cuda
3,1,4,0.24962641192563925,0.9251259899208063,0.08073019981384277,1.906822919845581,0.01,100,True,cuda
4,1,5,0.1679111570548977,0.9496040316774658,0.0817267894744873,1.9885497093200684,0.01,100,True,cuda
5,1,6,0.09826761684759304,0.9766018718502519,0.08371973037719727,2.0722694396972656,0.01,100,True,cuda
6,1,7,0.07136379989082647,0.9823614110871131,0.08072423934936523,2.152993679046631,0.01,100,True,cuda
7,1,8,0.07249038407942475,0.97264218862491,0.0817265510559082,2.234720230102539,0.01,100,True,cuda
8,1,9,0.06712091676059431,0.978401727861771,0.08073067665100098,2.31545090675354,0.01,100,True,cuda
9,1,10,0.07560865560116058,0.9694024478041756,0.11982607841491699,2.435276985168457,0.01,100,True,cuda
10,2,1,0.0706474059837695,0.974319306930693,0.15846586227416992,0.15846586227416992,0.01,100,True,cuda
11,2,2,0.053332393769967824,0.9814356435643564,0.14949989318847656,0.3079657554626465,0.01,100,True,cuda
12,2,3,0.07934262400428478,0.9724628712871287,0.14786362648010254,0.455829381942749,0.01,100,True,cuda
13,2,4,0.047340806061863014,0.9826732673267327,0.1475064754486084,0.6033358573913574,0.01,100,True,cuda
14,2,5,0.13015859881369857,0.9563737623762376,0.1504967212677002,0.7538325786590576,0.01,100,True,cuda
15,2,6,0.058253142762569585,0.9786509900990099,0.14650607109069824,0.9003386497497559,0.01,100,True,cuda
16,2,7,0.04438347012233358,0.9851485148514851,0.15065860748291016,1.050997257232666,0.01,100,True,cuda
17,2,8,0.05296565973923754,0.9814356435643564,0.19235682487487793,1.243354082107544,0.01,100,True,cuda
18,2,9,0.04228140428399501,0.9832920792079208,0.14516377449035645,1.3885178565979004,0.01,100,True,cuda
19,2,10,0.038658169068230115,0.9860767326732673,0.14949631690979004,1.5380141735076904,0.01,100,True,cuda
20,3,1,0.061304727624167735,0.9752949852507374,0.1624598503112793,0.1624598503112793,0.01,100,True,cuda
21,3,2,0.0951275706839278,0.9638643067846607,0.17839741706848145,0.34085726737976074,0.01,100,True,cuda
22,3,3,0.08560368439023298,0.967551622418879,0.1435256004333496,0.48438286781311035,0.01,100,True,cuda
23,3,4,0.07448324030072903,0.9642330383480826,0.1455075740814209,0.6298904418945312,0.01,100,True,cuda
24,3,5,0.06517715928361786,0.9701327433628318,0.14551329612731934,0.7754037380218506,0.01,100,True,cuda
25,3,6,0.05391956220180412,0.974188790560472,0.18040180206298828,0.9558055400848389,0.01,100,True,cuda
26,3,7,0.053022441855332315,0.976401179941003,0.14650464057922363,1.1023101806640625,0.01,100,True,cuda
27,3,8,0.12151237742035789,0.9594395280235988,0.14452266693115234,1.2468328475952148,0.01,100,True,cuda
28,3,9,0.08195467122245283,0.9623893805309734,0.17939424514770508,1.42622709274292,0.01,100,True,cuda
29,3,10,0.04885299472484441,0.9808259587020649,0.14551281929016113,1.571739912033081,0.01,100,True,cuda
30,4,1,0.05028635092436797,0.9763349514563107,0.24743056297302246,0.24743056297302246,0.01,100,True,cuda
31,4,2,0.153225657111938,0.9496359223300971,0.24219012260437012,0.4906167984008789,0.01,100,True,cuda
32,4,3,0.08344758868678609,0.9635922330097088,0.20232343673706055,0.6929402351379395,0.01,100,True,cuda
33,4,4,0.09174699212867514,0.9569174757281553,0.24218988418579102,0.9351301193237305,0.01,100,True,cuda
34,4,5,0.062303669552897435,0.9714805825242718,0.23950529098510742,1.174635410308838,0.01,100,True,cuda
35,4,6,0.05336678677885025,0.9766383495145631,0.2382035255432129,1.4128389358520508,0.01,100,True,cuda
36,4,7,0.04868196595620671,0.9778519417475728,0.19866585731506348,1.6115047931671143,0.01,100,True,cuda
37,4,8,0.07343117658781267,0.9669296116504854,0.23720645904541016,1.8487112522125244,0.01,100,True,cuda
38,4,9,0.05629244454214078,0.9769417475728155,0.23820757865905762,2.086918830871582,0.01,100,True,cuda
39,4,10,0.06612739087426041,0.9714805825242718,0.24544048309326172,2.3323593139648438,0.01,100,True,cuda
