,current task,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle,device
0,4,1,0.7304982140265931,0.868508655126498,1.8258910179138184,1.8258910179138184,0.01,100,True,cuda
1,4,2,0.09090174996875693,0.9640479360852197,0.24394679069519043,2.069837808609009,0.01,100,True,cuda
2,4,3,0.13047597353680235,0.949733688415446,0.2873818874359131,2.357219696044922,0.01,100,True,cuda
3,4,4,0.08153336534658559,0.9674600532623169,0.24167180061340332,2.598891496658325,0.01,100,True,cuda
4,4,5,0.07909407402784346,0.96754327563249,0.2421894073486328,2.841080904006958,0.01,100,True,cuda
5,4,6,0.08312330541626294,0.9654627163781625,0.25814080238342285,3.099221706390381,0.01,100,True,cuda
6,4,7,0.078080637247789,0.9696238348868176,0.24617290496826172,3.3453946113586426,0.01,100,True,cuda
7,4,8,0.08689671228844399,0.966711051930759,0.2518746852874756,3.597269296646118,0.01,100,True,cuda
8,4,9,0.06722636194403635,0.9726198402130493,0.24119305610656738,3.8384623527526855,0.01,100,True,cuda
9,4,10,0.0731795629140451,0.969207723035952,0.27806878089904785,4.116531133651733,0.01,100,True,cuda
